GR,fed_fis,fed_mofs,anova,no_fs
145,1.2924881372696315,1.310648678510617,1.276869632036258,1.2901376577524037
146,1.2936589950170272,1.3132857885116185,1.27997068747496,1.2929234431340144
147,1.2947887714092547,1.3115279760116185,1.2810775365584937,1.2953139085036058
148,1.2928755540114183,1.3123661139072516,1.2765416854467146,1.2943645770733172
149,1.2887247721354167,1.3099440354567307,1.2742387038010818,1.2902974446614583
150,1.2916237073066907,1.3125691731770834,1.280388387044271,1.2944010416666667
151,1.2854920216095753,1.3066788893479568,1.2741526285807292,1.2893690842848557
152,1.2895624405298478,1.3089387551332132,1.2827427008213141,1.2925932272886618
153,1.29135984763121,1.3119405893179086,1.2815011831430287,1.29140139848758
154,1.2940737993289262,1.3112645075871394,1.2810552352514022,1.2923882117638221
155,1.2907168657351762,1.3094720302483975,1.276819786658654,1.2898576002854567
156,1.2940930488782052,1.3134687374799678,1.2824205447465946,1.2954219720302484
157,1.2951676588792067,1.3108511900290465,1.2800906450320513,1.2953463040865385
158,1.2919069730318509,1.312898919521234,1.2760619334685497,1.2948561448317308
159,1.2907408885466747,1.311573517628205,1.2763570149739583,1.2938052446414263
160,1.290213403946314,1.3107040014022435,1.2780347775190304,1.2946744478665866
161,1.2872549986227966,1.306988760141226,1.2768584422576121,1.2897691775590945
162,1.2889325264172675,1.3087877322465946,1.2832701071714743,1.2931196946364183
163,1.2896356044671475,1.3115966796875,1.2816763070913462,1.2904679518479567
164,1.2948904966696715,1.313528364132612,1.2842081705729167,1.2959920247395833
165,1.2920938345102164,1.3107896071213943,1.2792793469551282,1.2914852044521234
166,1.2943951729016425,1.312947747646234,1.281546411758814,1.296005640274439
167,1.2953218900240384,1.3108135516826922,1.2803751627604167,1.2966706887269632
168,1.2930111616085738,1.312589126978165,1.2784470778245192,1.2971667167467948
169,1.291832244090545,1.3129114395532853,1.2787040514823718,1.2965636424529248
170,1.2912440373347356,1.3121361365685096,1.2807633620042067,1.2963765462239583
171,1.2894708877954728,1.3096517709585336,1.2808970915965545,1.2932190723908252
172,1.2861663818359375,1.3064480512570111,1.2804871387970753,1.2917754344451122
173,1.2895563370142227,1.308335446088742,1.2801342303936298,1.2917762951973157
174,1.2960190993088943,1.3155547313201121,1.2875319260817308,1.2979940561147836
175,1.2937051626352163,1.3102589925130208,1.281644302759415,1.2936533610026042
176,1.2919655041816906,1.310905965169271,1.2808258056640625,1.294699957431891
177,1.2935872395833334,1.3105618207882612,1.2815050174028446,1.297417195638021
178,1.2956598526392227,1.3140601524939903,1.2815993088942308,1.299825189052484
179,1.2916016407502002,1.3139759552784456,1.2799720959785656,1.298428970728165
180,1.2881623096955128,1.309593709309896,1.2766404371995193,1.2950933994391025
181,1.2871437268379406,1.308414557041266,1.2763138991135818,1.2925838372646234
